State,Overall Homeless,Year
Alaska,2614,2023
Alabama,3304,2023
Arkansas,2609,2023
Arizona,14237,2023
California,181399,2023
Colorado,14439,2023
Connecticut,3015,2023
District of Columbia,4922,2023
Delaware,1245,2023
Florida,30756,2023
Georgia,12294,2023
Guam,1075,2023
Hawaii,6223,2023
Iowa,2653,2023
Idaho,2298,2023
Illinois,11947,2023
Indiana,6017,2023
Kansas,2636,2023
Kentucky,4766,2023
Louisiana,3169,2023
Massachusetts,19141,2023
Maryland,5865,2023
Maine,4258,2023
Michigan,8997,2023
Minnesota,8393,2023
Missouri,6708,2023
Mississippi,982,2023
Montana,2178,2023
North Carolina,9754,2023
North Dakota,784,2023
Nebraska,2462,2023
New Hampshire,2441,2023
New Jersey,10264,2023
New Mexico,3842,2023
Nevada,8666,2023
New York,103200,2023
Ohio,11386,2023
Oklahoma,4648,2023
Oregon,20142,2023
Pennsylvania,12556,2023
Puerto Rico,2242,2023
Rhode Island,1810,2023
South Carolina,4053,2023
South Dakota,1282,2023
Tennessee,9215,2023
Texas,27377,2023
Utah,3687,2023
Virginia,6761,2023
Virgin Islands,252,2023
Vermont,3295,2023
Washington,28036,2023
Wisconsin,4861,2023
West Virginia,1416,2023
Wyoming,532,2023
<NA>,653104,2023
Alaska,2320,2022
Alabama,3752,2022
Arkansas,2459,2022
Arizona,13553,2022
California,171521,2022
Colorado,10397,2022
Connecticut,2930,2022
District of Columbia,4410,2022
Delaware,2369,2022
Florida,25959,2022
Georgia,10689,2022
Guam,1087,2022
Hawaii,5967,2022
Iowa,2419,2022
Idaho,1998,2022
Illinois,9212,2022
Indiana,5449,2022
Kansas,2397,2022
Kentucky,3984,2022
Louisiana,7373,2022
Massachusetts,15507,2022
Maryland,5349,2022
Maine,4411,2022
Michigan,8206,2022
Minnesota,7917,2022
Missouri,5992,2022
Northern Mariana Islands,1207,2022
Mississippi,1196,2022
Montana,1585,2022
North Carolina,9382,2022
North Dakota,610,2022
Nebraska,2246,2022
New Hampshire,1605,2022
New Jersey,8752,2022
New Mexico,2560,2022
Nevada,7618,2022
New York,74178,2022
Ohio,10654,2022
Oklahoma,3754,2022
Oregon,17959,2022
Pennsylvania,12691,2022
Puerto Rico,2215,2022
Rhode Island,1577,2022
South Carolina,3608,2022
South Dakota,1389,2022
Tennessee,10567,2022
Texas,24432,2022
Utah,3557,2022
Virginia,6529,2022
Virgin Islands,175,2022
Vermont,2780,2022
Washington,25211,2022
Wisconsin,4775,2022
West Virginia,1375,2022
Wyoming,648,2022
Alaska,1949,2021
Alabama,2556,2021
Arkansas,2139,2021
Arizona,5460,2021
California,57468,2021
Colorado,8544,2021
Connecticut,2593,2021
District of Columbia,5111,2021
Delaware,1579,2021
Florida,21121,2021
Georgia,5486,2021
Guam,199,2021
Hawaii,2490,2021
Iowa,2534,2021
Idaho,1889,2021
Illinois,7958,2021
Indiana,4975,2021
Kansas,1803,2021
Kentucky,2544,2021
Louisiana,2131,2021
Massachusetts,15079,2021
Maryland,4550,2021
Maine,2063,2021
Michigan,6757,2021
Minnesota,6775,2021
Missouri,4926,2021
Northern Mariana Islands,2,2021
Mississippi,626,2021
Montana,1801,2021
North Carolina,7249,2021
North Dakota,548,2021
Nebraska,1935,2021
New Hampshire,1491,2021
New Jersey,8262,2021
New Mexico,2747,2021
Nevada,7090,2021
New York,78920,2021
Ohio,7915,2021
Oklahoma,2694,2021
Oregon,9048,2021
Pennsylvania,10339,2021
Puerto Rico,439,2021
Rhode Island,1267,2021
South Carolina,3207,2021
South Dakota,817,2021
Tennessee,6823,2021
Texas,17295,2021
Utah,3565,2021
Virginia,5812,2021
Virgin Islands,177,2021
Vermont,2591,2021
Washington,11511,2021
Wisconsin,4237,2021
West Virginia,1138,2021
Wyoming,405,2021
Alaska,1949,2020
Alabama,3351,2020
Arkansas,2366,2020
Arizona,10979,2020
California,161548,2020
Colorado,9846,2020
Connecticut,2905,2020
District of Columbia,6380,2020
Delaware,1165,2020
Florida,27487,2020
Georgia,10234,2020
Guam,790,2020
Hawaii,6458,2020
Iowa,2647,2020
Idaho,2315,2020
Illinois,10431,2020
Indiana,5625,2020
Kansas,2449,2020
Kentucky,4011,2020
Louisiana,3173,2020
Massachusetts,17975,2020
Maryland,6360,2020
Maine,2097,2020
Michigan,8638,2020
Minnesota,7940,2020
Missouri,6527,2020
Northern Mariana Islands,1207,2020
Mississippi,1107,2020
Montana,1545,2020
North Carolina,9280,2020
North Dakota,541,2020
Nebraska,2404,2020
New Hampshire,1675,2020
New Jersey,9662,2020
New Mexico,3333,2020
Nevada,6900,2020
New York,91271,2020
Ohio,10655,2020
Oklahoma,3932,2020
Oregon,14655,2020
Pennsylvania,13375,2020
Puerto Rico,2451,2020
Rhode Island,1104,2020
South Carolina,4287,2020
South Dakota,1058,2020
Tennessee,7256,2020
Texas,27229,2020
Utah,3131,2020
Virginia,5957,2020
Virgin Islands,304,2020
Vermont,1110,2020
Washington,22923,2020
Wisconsin,4515,2020
West Virginia,1341,2020
Wyoming,612,2020
Alaska,1907,2019
Alabama,3261,2019
Arkansas,2717,2019
Arizona,10007,2019
California,151278,2019
Colorado,9619,2019
Connecticut,3033,2019
District of Columbia,6521,2019
Delaware,921,2019
Florida,28328,2019
Georgia,10443,2019
Guam,875,2019
Hawaii,6412,2019
Iowa,2315,2019
Idaho,2315,2019
Illinois,10199,2019
Indiana,5471,2019
Kansas,2381,2019
Kentucky,4079,2019
Louisiana,2941,2019
Massachusetts,18471,2019
Maryland,6561,2019
Maine,2106,2019
Michigan,8575,2019
Minnesota,7977,2019
Missouri,6179,2019
Northern Mariana Islands,1807,2019
Mississippi,1184,2019
Montana,1357,2019
North Carolina,9314,2019
North Dakota,557,2019
Nebraska,2365,2019
New Hampshire,1396,2019
New Jersey,8862,2019
New Mexico,3241,2019
Nevada,7169,2019
New York,92091,2019
Ohio,10345,2019
Oklahoma,3944,2019
Oregon,15876,2019
Pennsylvania,13199,2019
Puerto Rico,2535,2019
Rhode Island,1055,2019
South Carolina,4172,2019
South Dakota,995,2019
Tennessee,7467,2019
Texas,25848,2019
Utah,2798,2019
Virginia,5783,2019
Virgin Islands,314,2019
Vermont,1089,2019
Washington,21577,2019
Wisconsin,4538,2019
West Virginia,1397,2019
Wyoming,548,2019
Alaska,2016,2018
Alabama,3434,2018
Arkansas,2712,2018
Arizona,9865,2018
California,129972,2018
Colorado,10857,2018
Connecticut,3976,2018
District of Columbia,6904,2018
Delaware,1082,2018
Florida,31030,2018
Georgia,9499,2018
Guam,854,2018
Hawaii,6530,2018
Iowa,2749,2018
Idaho,2012,2018
Illinois,10643,2018
Indiana,5258,2018
Kansas,2216,2018
Kentucky,3688,2018
Louisiana,3059,2018
Massachusetts,20068,2018
Maryland,7144,2018
Maine,2516,2018
Michigan,8351,2018
Minnesota,7243,2018
Missouri,5883,2018
Northern Mariana Islands,1044,2018
Mississippi,1352,2018
Montana,1405,2018
North Carolina,9268,2018
North Dakota,542,2018
Nebraska,2421,2018
New Hampshire,1450,2018
New Jersey,9398,2018
New Mexico,2551,2018
Nevada,7544,2018
New York,91897,2018
Ohio,10249,2018
Oklahoma,3871,2018
Oregon,14476,2018
Pennsylvania,13512,2018
Puerto Rico,3182,2018
Rhode Island,1101,2018
South Carolina,3933,2018
South Dakota,1159,2018
Tennessee,7883,2018
Texas,25310,2018
Utah,2876,2018
Virginia,5975,2018
Virgin Islands,486,2018
Vermont,1291,2018
Washington,22304,2018
Wisconsin,4907,2018
West Virginia,1243,2018
Wyoming,639,2018
Alaska,1845,2017
Alabama,3793,2017
Arkansas,2467,2017
Arizona,8947,2017
California,131532,2017
Colorado,10940,2017
Connecticut,3388,2017
District of Columbia,7473,2017
Delaware,994,2017
Florida,32190,2017
Georgia,10174,2017
Guam,852,2017
Hawaii,7220,2017
Iowa,2756,2017
Idaho,2037,2017
Illinois,10798,2017
Indiana,5438,2017
Kansas,2287,2017
Kentucky,4025,2017
Louisiana,3305,2017
Massachusetts,17565,2017
Maryland,7247,2017
Maine,2280,2017
Michigan,9051,2017
Minnesota,7668,2017
Missouri,6037,2017
Northern Mariana Islands,672,2017
Mississippi,1472,2017
Montana,1529,2017
North Carolina,8962,2017
North Dakota,1089,2017
Nebraska,2501,2017
New Hampshire,1456,2017
New Jersey,8536,2017
New Mexico,2482,2017
Nevada,7833,2017
New York,89503,2017
Ohio,10095,2017
Oklahoma,4199,2017
Oregon,13953,2017
Pennsylvania,14138,2017
Puerto Rico,3525,2017
Rhode Island,1180,2017
South Carolina,3916,2017
South Dakota,943,2017
Tennessee,8309,2017
Texas,23548,2017
Utah,2852,2017
Virginia,6067,2017
Virgin Islands,381,2017
Vermont,1225,2017
Washington,21112,2017
Wisconsin,5027,2017
West Virginia,1309,2017
Wyoming,873,2017
Alaska,1940,2016
Alabama,4111,2016
Arkansas,2463,2016
Arizona,9707,2016
California,118142,2016
Colorado,10550,2016
Connecticut,3902,2016
District of Columbia,8350,2016
Delaware,1070,2016
Florida,33559,2016
Georgia,12909,2016
Guam,1085,2016
Hawaii,7921,2016
Iowa,3064,2016
Idaho,2247,2016
Illinois,11590,2016
Indiana,5798,2016
Kansas,2255,2016
Kentucky,4237,2016
Louisiana,3994,2016
Massachusetts,19608,2016
Maryland,7689,2016
Maine,2241,2016
Michigan,9316,2016
