year,state_fips,low,high,states,average_debt
1999,01,0.4,1.11,Alabama,0.7550000000000001
1999,02,1.24,1.32,Alaska,1.28
1999,04,1.4,1.5,Arizona,1.45
1999,05,0.4,1.11,Arkansas,0.7550000000000001
1999,06,1.6,1.72,California,1.6600000000000001
1999,08,1.32,1.4,Colorado,1.3599999999999999
1999,09,1.11,1.24,Connecticut,1.175
1999,10,0.4,1.11,Delaware,0.7550000000000001
1999,11,0.4,1.11,None,0.7550000000000001
1999,12,1.5,1.6,Florida,1.55
1999,13,1.24,1.32,Georgia,1.28
1999,15,1.84,2.06,Hawaii,1.9500000000000002
1999,16,1.4,1.5,Idaho,1.45
1999,17,0.4,1.11,Illinois,0.7550000000000001
1999,18,0.4,1.11,Indiana,0.7550000000000001
1999,19,0.4,1.11,Iowa,0.7550000000000001
1999,20,0.4,1.11,Kansas,0.7550000000000001
1999,21,0.4,1.11,Kentucky,0.7550000000000001
1999,22,0.4,1.11,Louisiana,0.7550000000000001
1999,23,1.11,1.24,Maine,1.175
1999,24,1.6,1.72,Maryland,1.6600000000000001
1999,25,0.4,1.11,Massachusetts,0.7550000000000001
1999,26,0.4,1.11,Michigan,0.7550000000000001
1999,27,0.4,1.11,Minnesota,0.7550000000000001
1999,28,0.4,1.11,Mississippi,0.7550000000000001
1999,29,0.4,1.11,Missouri,0.7550000000000001
1999,30,1.24,1.32,Montana,1.28
1999,31,0.4,1.11,Nebraska,0.7550000000000001
1999,32,1.32,1.4,Nevada,1.3599999999999999
1999,33,1.11,1.24,New Hampshire,1.175
1999,34,1.11,1.24,New Jersey,1.175
1999,35,1.4,1.5,New Mexico,1.45
1999,36,0.4,1.11,New York,0.7550000000000001
1999,37,1.11,1.24,North Carolina,1.175
1999,38,0.4,1.11,North Dakota,0.7550000000000001
1999,39,0.4,1.11,Ohio,0.7550000000000001
1999,40,0.4,1.11,Oklahoma,0.7550000000000001
1999,41,1.32,1.4,Oregon,1.3599999999999999
1999,42,0.4,1.11,Pennsylvania,0.7550000000000001
1999,44,1.24,1.32,Rhode Island,1.28
1999,45,1.24,1.32,South Carolina,1.28
1999,46,0.4,1.11,South Dakota,0.7550000000000001
1999,47,1.11,1.24,Tennessee,1.175
1999,48,0.4,1.11,Texas,0.7550000000000001
1999,49,1.32,1.4,Utah,1.3599999999999999
1999,50,1.11,1.24,Vermont,1.175
1999,51,1.32,1.4,Virginia,1.3599999999999999
1999,53,1.4,1.5,Washington,1.45
1999,54,0.4,1.11,West Virginia,0.7550000000000001
1999,55,0.4,1.11,Wisconsin,0.7550000000000001
1999,56,0.4,1.11,Wyoming,0.7550000000000001
1999,01,0.4,1.11,Alabama,0.7550000000000001
1999,02,1.24,1.32,Alaska,1.28
1999,04,1.24,1.32,Arizona,1.28
1999,05,0.4,1.11,Arkansas,0.7550000000000001
1999,06,1.5,1.6,California,1.55
1999,08,1.24,1.32,Colorado,1.28
1999,09,0.4,1.11,Connecticut,0.7550000000000001
1999,10,0.4,1.11,Delaware,0.7550000000000001
1999,11,0.4,1.11,None,0.7550000000000001
1999,12,1.4,1.5,Florida,1.45
1999,13,1.11,1.24,Georgia,1.175
1999,15,1.72,1.84,Hawaii,1.78
1999,16,1.4,1.5,Idaho,1.45
1999,17,0.4,1.11,Illinois,0.7550000000000001
1999,18,0.4,1.11,Indiana,0.7550000000000001
1999,19,0.4,1.11,Iowa,0.7550000000000001
1999,20,0.4,1.11,Kansas,0.7550000000000001
1999,21,0.4,1.11,Kentucky,0.7550000000000001
1999,22,0.4,1.11,Louisiana,0.7550000000000001
1999,23,0.4,1.11,Maine,0.7550000000000001
1999,24,1.5,1.6,Maryland,1.55
1999,25,0.4,1.11,Massachusetts,0.7550000000000001
1999,26,0.4,1.11,Michigan,0.7550000000000001
1999,27,0.4,1.11,Minnesota,0.7550000000000001
1999,28,0.4,1.11,Mississippi,0.7550000000000001
1999,29,0.4,1.11,Missouri,0.7550000000000001
1999,30,1.24,1.32,Montana,1.28
1999,31,0.4,1.11,Nebraska,0.7550000000000001
1999,32,1.32,1.4,Nevada,1.3599999999999999
1999,33,0.4,1.11,New Hampshire,0.7550000000000001
1999,34,0.4,1.11,New Jersey,0.7550000000000001
1999,35,1.32,1.4,New Mexico,1.3599999999999999
1999,36,0.4,1.11,New York,0.7550000000000001
1999,37,1.11,1.24,North Carolina,1.175
1999,38,0.4,1.11,North Dakota,0.7550000000000001
1999,39,0.4,1.11,Ohio,0.7550000000000001
1999,40,0.4,1.11,Oklahoma,0.7550000000000001
1999,41,1.32,1.4,Oregon,1.3599999999999999
1999,42,0.4,1.11,Pennsylvania,0.7550000000000001
1999,44,1.11,1.24,Rhode Island,1.175
1999,45,1.11,1.24,South Carolina,1.175
1999,46,0.4,1.11,South Dakota,0.7550000000000001
1999,47,1.11,1.24,Tennessee,1.175
1999,48,0.4,1.11,Texas,0.7550000000000001
1999,49,1.24,1.32,Utah,1.28
1999,50,0.4,1.11,Vermont,0.7550000000000001
1999,51,1.32,1.4,Virginia,1.3599999999999999
1999,53,1.4,1.5,Washington,1.45
1999,54,0.4,1.11,West Virginia,0.7550000000000001
1999,55,0.4,1.11,Wisconsin,0.7550000000000001
1999,56,0.4,1.11,Wyoming,0.7550000000000001
1999,01,0.4,1.11,Alabama,0.7550000000000001
1999,02,1.24,1.32,Alaska,1.28
1999,04,1.32,1.4,Arizona,1.3599999999999999
1999,05,0.4,1.11,Arkansas,0.7550000000000001
1999,06,1.5,1.6,California,1.55
1999,08,1.32,1.4,Colorado,1.3599999999999999
1999,09,0.4,1.11,Connecticut,0.7550000000000001
1999,10,0.4,1.11,Delaware,0.7550000000000001
1999,11,0.4,1.11,None,0.7550000000000001
1999,12,1.4,1.5,Florida,1.45
1999,13,1.11,1.24,Georgia,1.175
1999,15,1.72,1.84,Hawaii,1.78
1999,16,1.4,1.5,Idaho,1.45
1999,17,0.4,1.11,Illinois,0.7550000000000001
1999,18,0.4,1.11,Indiana,0.7550000000000001
1999,19,0.4,1.11,Iowa,0.7550000000000001
1999,20,0.4,1.11,Kansas,0.7550000000000001
1999,21,0.4,1.11,Kentucky,0.7550000000000001
1999,22,0.4,1.11,Louisiana,0.7550000000000001
1999,23,1.11,1.24,Maine,1.175
1999,24,1.6,1.72,Maryland,1.6600000000000001
1999,25,0.4,1.11,Massachusetts,0.7550000000000001
1999,26,0.4,1.11,Michigan,0.7550000000000001
1999,27,0.4,1.11,Minnesota,0.7550000000000001
1999,28,0.4,1.11,Mississippi,0.7550000000000001
1999,29,0.4,1.11,Missouri,0.7550000000000001
1999,30,1.32,1.4,Montana,1.3599999999999999
1999,31,0.4,1.11,Nebraska,0.7550000000000001
1999,32,1.4,1.5,Nevada,1.45
1999,33,1.11,1.24,New Hampshire,1.175
1999,34,0.4,1.11,New Jersey,0.7550000000000001
1999,35,1.4,1.5,New Mexico,1.45
1999,36,0.4,1.11,New York,0.7550000000000001
1999,37,1.11,1.24,North Carolina,1.175
1999,38,0.4,1.11,North Dakota,0.7550000000000001
1999,39,0.4,1.11,Ohio,0.7550000000000001
1999,40,0.4,1.11,Oklahoma,0.7550000000000001
1999,41,1.4,1.5,Oregon,1.45
1999,42,0.4,1.11,Pennsylvania,0.7550000000000001
1999,44,1.11,1.24,Rhode Island,1.175
1999,45,1.24,1.32,South Carolina,1.28
1999,46,0.4,1.11,South Dakota,0.7550000000000001
1999,47,1.11,1.24,Tennessee,1.175
1999,48,0.4,1.11,Texas,0.7550000000000001
1999,49,1.32,1.4,Utah,1.3599999999999999
1999,50,1.11,1.24,Vermont,1.175
1999,51,1.32,1.4,Virginia,1.3599999999999999
1999,53,1.4,1.5,Washington,1.45
1999,54,0.4,1.11,West Virginia,0.7550000000000001
1999,55,0.4,1.11,Wisconsin,0.7550000000000001
1999,56,0.4,1.11,Wyoming,0.7550000000000001
1999,01,0.4,1.11,Alabama,0.7550000000000001
1999,02,1.24,1.32,Alaska,1.28
1999,04,1.24,1.32,Arizona,1.28
1999,05,0.4,1.11,Arkansas,0.7550000000000001
1999,06,1.5,1.6,California,1.55
1999,08,1.24,1.32,Colorado,1.28
1999,09,0.4,1.11,Connecticut,0.7550000000000001
