"state","year","inflation"
"Alabama",1989,4.01778675
"Alabama",1990,3.5800967
"Alabama",1991,3.7534039
"Alabama",1992,1.22918823
"Alabama",1993,2.454642225
"Alabama",1994,1.959615375
"Alabama",1995,2.20881495
"Alabama",1996,3.2606459
"Alabama",1997,1.588801775
"Alabama",1998,0.61420833
"Alabama",1999,2.0098715375
"Alabama",2000,2.8163724
"Alabama",2001,2.4808015
"Alabama",2002,2.804069275
"Alabama",2003,1.900850575
"Alabama",2004,2.21537065
"Alabama",2005,1.86027285
"Alabama",2006,3.253279075
"Alabama",2007,2.33164885
"Alabama",2008,4.474919275
"Alabama",2009,1.3691731325
"Alabama",2010,2.970627225
"Alabama",2011,4.561612075
"Alabama",2012,2.646067575
"Alabama",2013,1.36977374
"Alabama",2014,1.221951255
"Alabama",2015,-0.44837538647315
"Alabama",2016,0.4069522675
"Alabama",2017,1.199652405
"Alaska",1978,3.464388925
"Alaska",1979,5.476323
"Alaska",1980,5.78276825
"Alaska",1981,5.181911575
"Alaska",1982,2.8469846
"Alaska",1983,4.6870317
"Alaska",1984,3.0538669
"Alaska",1985,1.54258085
"Alaska",1986,1.3782752975
"Alaska",1989,3.3720387
"Alaska",1990,3.70160285
"Alaska",1991,3.2850958
"Alaska",1992,1.541814975
"Alaska",1993,2.344313575
"Alaska",1994,1.472739025
"Alaska",1995,1.8990645
"Alaska",1996,2.9087073
"Alaska",1997,2.0108778
"Alaska",1998,1.1258306275
"Alaska",1999,1.24046052
"Alaska",2000,1.27248799
"Alaska",2001,2.6904883
"Alaska",2002,1.4383593575
"Alaska",2003,2.63406705
"Alaska",2004,3.77849315
"Alaska",2005,3.51181395
"Alaska",2006,4.174872225
"Alaska",2007,2.6732335
"Alaska",2008,3.360289025
"Alaska",2009,3.3519755
"Alaska",2010,0.657305905
"Alaska",2011,3.289405865
"Alaska",2012,2.0842
"Alaska",2013,3.93407255
"Alaska",2014,2.19193601
"Alaska",2015,0.947955285
"Alaska",2016,0.485155934
"Alaska",2017,1.805090325
"Arkansas",1989,4.299597025
"Arkansas",1990,3.815248375
"Arkansas",1991,3.73533875
"Arkansas",1992,1.918540775
"Arkansas",1993,2.530656475
"Arkansas",1994,2.240324175
"Arkansas",1995,2.053254025
"Arkansas",1996,2.740751425
"Arkansas",1997,2.38966825
"Arkansas",1998,-0.0722544615
"Arkansas",1999,0.5100864625
"Arkansas",2000,2.84854795
"Arkansas",2001,2.297380275
