"state","year","overall_rpp","goods_rpp","housing_rpp","utilities_rpp","other_rpp"
"Alabama",2008,88.852,95.966,59.878,90.904,97.62
"Alabama",2009,87.725,93.984,60.149,90.967,96.523
"Alabama",2010,89.682,96.303,61.501,92.954,98.245
"Alabama",2011,89.955,95.863,60.852,93.093,99.687
"Alabama",2012,90.515,95.135,62.322,95.089,100.731
"Alabama",2013,90.273,96.143,61.411,93.464,99.88
"Alabama",2014,90.137,96.138,59.913,94.269,99.941
"Alabama",2015,89.706,95.078,59.246,94.683,100.076
"Alabama",2016,90.58,95.915,60.512,94.75,100.623
"Alabama",2017,90.098,95.451,61.12,93.71,99.104
"Alabama",2018,87.388,92.523,59.642,87.97,95.92
"Alabama",2019,88.326,94.656,60.288,86.342,96.856
"Alabama",2020,87.581,94.375,59.61,85.067,96.497
"Alabama",2021,88.026,93.958,60.606,86.871,96.086
"Alabama",2022,87.776,94.623,57.525,88.117,96.956
"Alaska",2008,103.924,105.925,105.954,89.925,102.939
"Alaska",2009,106.224,105.72,119.667,103.87,103.559
"Alaska",2010,103.183,104.099,113.681,106.097,100.022
"Alaska",2011,103.328,103.569,109.991,110.704,101.256
"Alaska",2012,102.597,101.594,116.476,113.13,99.565
"Alaska",2013,102.079,100.198,114.826,118.266,99.569
"Alaska",2014,102.412,99.985,116.651,112.926,100.159
"Alaska",2015,103.331,104.554,114.547,116.97,99.799
"Alaska",2016,104.075,107.481,108.721,123.393,100.683
"Alaska",2017,104.864,107.743,109.381,123.114,101.79
"Alaska",2018,104.552,103.184,104.765,129.704,104.389
"Alaska",2019,103.063,100.53,101.329,130.819,103.906
"Alaska",2020,101.339,101.555,89.721,127.865,103.795
"Alaska",2021,104.776,109.156,103.398,116.537,102.341
"Alaska",2022,101.989,105.527,96.773,104.099,101.333
"Arizona",2008,102.501,102.954,103.314,96.371,102.286
"Arizona",2009,102.847,106.398,99.868,96.256,102.063
"Arizona",2010,100.548,100.098,96.899,104.333,102.082
"Arizona",2011,99.081,98.955,94.773,104.282,100.535
"Arizona",2012,98.044,98.25,95.179,100.54,98.821
"Arizona",2013,98.415,97.606,93.619,99.016,100.867
"Arizona",2014,97.934,97.755,92.739,100.346,99.84
"Arizona",2015,97.871,98.568,93.771,101.049,98.649
"Arizona",2016,98.588,97.865,92.449,97.468,101.447
"Arizona",2017,97.873,97.198,93.528,98.977,99.808
"Arizona",2018,97.344,95.837,94.257,99.776,99.332
"Arizona",2019,97.759,96.006,93.592,92.575,100.796
"Arizona",2020,99.211,100.089,97.973,90.135,99.658
"Arizona",2021,96.615,95.174,102.364,87.996,96.33
"Arizona",2022,99.897,98.112,106.287,86.956,100.029
"Arkansas",2008,88.065,95.942,58.67,81.22,97.041
"Arkansas",2009,86.33,93.772,57.419,79.469,95.757
"Arkansas",2010,88.492,96.536,59.83,78.891,97.267
"Arkansas",2011,89.335,95.92,61.01,79.091,98.839
"Arkansas",2012,89.354,94.388,60.323,81.787,100.032
"Arkansas",2013,89.445,95.308,59.939,81.466,99.707
"Arkansas",2014,89.357,94.652,60.243,81.277,99.858
"Arkansas",2015,88.98,93.843,59.372,84.455,99.571
"Arkansas",2016,89.275,94.797,59.31,83.7,99.587
"Arkansas",2017,88.607,94.5,57.64,83.149,98.283
"Arkansas",2018,87.156,93.047,56.162,79.256,97.937
"Arkansas",2019,87.73,94.726,56.816,78.457,97.214
"Arkansas",2020,88.228,94.378,56.859,81.658,99.452
"Arkansas",2021,88.927,95.646,59.444,82.667,97.27
"Arkansas",2022,86.597,92.998,55.793,81.084,96.087
"California",2008,111.187,107.408,161.357,111.41,101.878
"California",2009,110.629,104.678,160.405,112.817,101.888
"California",2010,109.665,103.033,158.034,117.193,101.594
"California",2011,109.472,103.588,157.142,115.294,101.555
"California",2012,109.649,104.082,156.199,117.078,101.923
"California",2013,109.638,104.288,155.713,121.443,101.748
"California",2014,109.887,104.342,157.934,128.276,101.832
"California",2015,110.644,105.568,158.041,129.314,102.667
"California",2016,109.866,104.409,160.081,129.464,101.75
"California",2017,110.925,104.455,162.521,130.675,103.145
"California",2018,111.972,105.479,163.842,125.052,104.427
"California",2019,111.082,106.147,164.675,130.961,102.399
"California",2020,111.876,106.594,166.235,133.773,101.898
"California",2021,111.886,108.097,165.034,144.495,102.054
"California",2022,112.47,108.348,160.15,147.076,103.752
"Colorado",2008,103.302,104.463,113.853,78.335,100.858
"Colorado",2009,102.351,102.12,113.151,78.75,100.438
"Colorado",2010,100.594,101.334,112.153,83.909,97.491
"Colorado",2011,103.391,101.647,118.778,90.995,100.339
"Colorado",2012,103.152,101.394,115.656,85.691,101.395
"Colorado",2013,103.118,101.082,118.017,83.487,101.023
"Colorado",2014,103.076,100.263,120.755,96.816,99.995
"Colorado",2015,103.084,99.891,123.872,89.16,99.791
"Colorado",2016,102.713,99.885,126.181,89.328,98.459
"Colorado",2017,102.957,99.613,128.891,86.072,98.725
"Colorado",2018,100.29,97.621,128.342,84.52,95.273
"Colorado",2019,102.488,101.619,131.065,88.413,95.89
"Colorado",2020,103.814,102.129,130.335,88.376,97.849
"Colorado",2021,102.877,101.876,129.453,85.481,96.829
"Colorado",2022,102.293,101.224,129.614,89.377,96.171
"Connecticut",2008,110.466,109.357,131.478,154.489,104.704
"Connecticut",2009,110.829,108.556,136.641,157.069,104.403
"Connecticut",2010,107.003,103.62,128.575,146.629,102.358
"Connecticut",2011,107.87,103.772,129.838,138.321,104.008
"Connecticut",2012,107.542,104.6,131.269,135.083,102.64
"Connecticut",2013,107.703,104.285,129.212,134.15,103.601
"Connecticut",2014,107.01,103.441,127.604,135.631,103.179
"Connecticut",2015,107.612,103.22,132.411,139.107,103.432
"Connecticut",2016,107.521,103.625,127.086,142.765,104.132
"Connecticut",2017,107.18,104.396,121.266,144.599,104.358
"Connecticut",2018,104.057,101.428,122.137,140.709,100.236
"Connecticut",2019,103.877,98.735,118.087,143.536,102.17
"Connecticut",2020,105.118,99.071,122.958,159.87,102.486
"Connecticut",2021,102.751,96.869,120.862,146.656,100.694
"Connecticut",2022,106.412,101.249,119.368,140.121,105.109
"Delaware",2008,100.826,103.492,93.734,111.848,100.77
"Delaware",2009,102.125,101.936,104.505,117.734,100.687
"Delaware",2010,101.547,101.524,99.376,116.391,101.476
"Delaware",2011,100.392,102.502,98.179,117.185,98.908
"Delaware",2012,99.53,99.45,98.122,117.258,99.206
"Delaware",2013,98.591,97.127,98.898,111.72,98.86
"Delaware",2014,99.704,95.645,103.867,105,100.978
"Delaware",2015,97.946,97.13,95.174,103.986,99.037
"Delaware",2016,98.499,98.618,94.404,102.977,99.503
"Delaware",2017,98.564,96.508,94.653,101.977,100.967
"Delaware",2018,99.26,96.907,99.303,99.483,100.753
"Delaware",2019,98.867,95.81,96.027,99.584,101.72
"Delaware",2020,96.774,94.569,91.843,98.403,99.976
"Delaware",2021,97.469,94.657,96.965,93.499,99.869
"Delaware",2022,97.957,94.798,98.865,94.685,100.093
"District of Columbia",2008,112.385,112.191,156.772,126.646,105.323
"District of Columbia",2009,113.041,112.777,163.289,130.051,105.082
"District of Columbia",2010,114.189,109.514,182.577,117.194,105.864
"District of Columbia",2011,114.103,107.859,189.523,114.55,106.034
"District of Columbia",2012,111.696,105.852,177.24,110.893,104.317
"District of Columbia",2013,113.585,110.869,174.262,113.938,105.149
