"year","population","state"
1990,553120,"Alaska"
1990,4048508,"Alabama"
1990,2354343,"Arkansas"
1990,3679056,"Arizona"
1990,29950111,"California"
1990,3303862,"Colorado"
1990,3289056,"Connecticut"
1990,603814,"District of Columbia"
1990,669063,"Delaware"
1990,13018365,"Florida"
1990,6506531,"Georgia"
1990,1112703,"Hawaii"
1990,2779769,"Iowa"
1990,1011882,"Idaho"
1990,11446979,"Illinois"
1990,5555097,"Indiana"
1990,2480683,"Kansas"
1990,3692584,"Kentucky"
1990,4219179,"Louisiana"
1990,6018664,"Massachusetts"
1990,4797431,"Maryland"
1990,1231296,"Maine"
1990,9310462,"Michigan"
1990,4387283,"Minnesota"
1990,5126370,"Missouri"
1990,2577426,"Mississippi"
1990,799824,"Montana"
1990,6656987,"North Carolina"
1990,637364,"North Dakota"
1990,1580664,"Nebraska"
1990,1111831,"New Hampshire"
1990,7757158,"New Jersey"
1990,1519933,"New Mexico"
1990,1218629,"Nevada"
1990,18002855,"New York"
1990,10861837,"Ohio"
1990,3147105,"Oklahoma"
1990,2858547,"Oregon"
1990,11895604,"Pennsylvania"
1990,1004649,"Rhode Island"
1990,3499064,"South Carolina"
1990,696667,"South Dakota"
1990,4890626,"Tennessee"
1990,17044714,"Texas"
1990,1729722,"Utah"
1990,6213526,"Virginia"
1990,564526,"Vermont"
1990,4900780,"Washington"
1990,4902265,"Wisconsin"
1990,1792481,"West Virginia"
1990,453401,"Wyoming"
1991,569273,"Alaska"
1991,4091025,"Alabama"
1991,2370666,"Arkansas"
1991,3762394,"Arizona"
1991,30414114,"California"
1991,3367567,"Colorado"
1991,3288640,"Connecticut"
1991,593239,"District of Columbia"
1991,680495,"Delaware"
1991,13289497,"Florida"
1991,6621279,"Georgia"
1991,1131412,"Hawaii"
1991,2791227,"Iowa"
1991,1038915,"Idaho"
1991,11535973,"Illinois"
1991,5602062,"Indiana"
1991,2495209,"Kansas"
1991,3714686,"Kentucky"
1991,4240950,"Louisiana"
1991,5998652,"Massachusetts"
1991,4856176,"Maryland"
1991,1235439,"Maine"
1991,9395022,"Michigan"
1991,4427429,"Minnesota"
1991,5157770,"Missouri"
1991,2591230,"Mississippi"
1991,807837,"Montana"
1991,6748135,"North Carolina"
1991,634199,"North Dakota"
1991,1590805,"Nebraska"
1991,1107055,"New Hampshire"
1991,7784269,"New Jersey"
1991,1547115,"New Mexico"
1991,1285046,"Nevada"
1991,18029532,"New York"
1991,10933683,"Ohio"
1991,3166471,"Oklahoma"
1991,2918745,"Oregon"
1991,11943160,"Pennsylvania"
1991,1003990,"Rhode Island"
1991,3559470,"South Carolina"
1991,701445,"South Dakota"
1991,4946886,"Tennessee"
1991,17339904,"Texas"
1991,1771941,"Utah"
1991,6283853,"Virginia"
1991,567141,"Vermont"
1991,5013443,"Washington"
1991,4952675,"Wisconsin"
1991,1798212,"West Virginia"
1991,457739,"Wyoming"
1992,587073,"Alaska"
1992,4139269,"Alabama"
1992,2394098,"Arkansas"
1992,3867333,"Arizona"
1992,30875920,"California"
1992,3459995,"Colorado"
1992,3274997,"Connecticut"
1992,584183,"District of Columbia"
1992,690158,"Delaware"
1992,13504775,"Florida"
1992,6759474,"Georgia"
1992,1149926,"Hawaii"
1992,2806923,"Iowa"
1992,1066490,"Idaho"
1992,11635197,"Illinois"
1992,5648649,"Indiana"
1992,2526042,"Kansas"
1992,3756358,"Kentucky"
1992,4270849,"Louisiana"
1992,5993474,"Massachusetts"
1992,4902545,"Maryland"
1992,1235748,"Maine"
1992,9470323,"Michigan"
1992,4471503,"Minnesota"
1992,5193686,"Missouri"
1992,2610193,"Mississippi"
1992,822436,"Montana"
1992,6831850,"North Carolina"
1992,635427,"North Dakota"
1992,1602406,"Nebraska"
1992,1112766,"New Hampshire"
1992,7827770,"New Jersey"
1992,1580750,"New Mexico"
1992,1330694,"Nevada"
1992,18082032,"New York"
1992,11007609,"Ohio"
1992,3204174,"Oklahoma"
1992,2973934,"Oregon"
1992,11980819,"Pennsylvania"
1992,1000571,"Rhode Island"
1992,3600576,"South Carolina"
1992,708698,"South Dakota"
1992,5013999,"Tennessee"
1992,17650479,"Texas"
1992,1821498,"Utah"
1992,6383315,"Virginia"
1992,570115,"Vermont"
1992,5139011,"Washington"
1992,5004636,"Wisconsin"
1992,1805462,"West Virginia"
1992,463491,"Wyoming"
1993,596993,"Alaska"
1993,4193114,"Alabama"
1993,2423743,"Arkansas"
1993,3993390,"Arizona"
1993,31147208,"California"
1993,3560884,"Colorado"
1993,3272325,"Connecticut"
1993,576358,"District of Columbia"
1993,699475,"Delaware"
1993,13713593,"Florida"
1993,6894092,"Georgia"
1993,1161508,"Hawaii"
1993,2820525,"Iowa"
1993,1101204,"Idaho"
1993,11725984,"Illinois"
1993,5701965,"Indiana"
1993,2547605,"Kansas"
1993,3792288,"Kentucky"
1993,4284749,"Louisiana"
1993,6010884,"Massachusetts"
1993,4942504,"Maryland"
1993,1238256,"Maine"
1993,9529240,"Michigan"
1993,4521709,"Minnesota"
1993,5237757,"Missouri"
1993,2635574,"Mississippi"
1993,839876,"Montana"
1993,6947412,"North Carolina"
1993,637229,"North Dakota"
1993,1612149,"Nebraska"
1993,1122191,"New Hampshire"
1993,7874891,"New Jersey"
1993,1614937,"New Mexico"
1993,1380197,"Nevada"
1993,18140894,"New York"
1993,11070385,"Ohio"
1993,3228829,"Oklahoma"
1993,3034490,"Oregon"
1993,12022128,"Pennsylvania"
1993,997852,"Rhode Island"
1993,3634507,"South Carolina"
1993,716258,"South Dakota"
1993,5085666,"Tennessee"
1993,17996764,"Texas"
1993,1875993,"Utah"
1993,6464795,"Virginia"
1993,574004,"Vermont"
1993,5247704,"Washington"
1993,5055318,"Wisconsin"
1993,1816179,"West Virginia"
1993,469033,"Wyoming"
1994,600624,"Alaska"
1994,4232965,"Alabama"
1994,2450605,"Arkansas"
1994,4147561,"Arizona"
1994,31317179,"California"
1994,3653910,"Colorado"
1994,3268346,"Connecticut"
1994,564982,"District of Columbia"
1994,708416,"Delaware"
1994,13961798,"Florida"
1994,7045900,"Georgia"
1994,1173903,"Hawaii"
1994,2829422,"Iowa"
1994,1135459,"Idaho"
1994,11804986,"Illinois"
1994,5745626,"Indiana"
1994,2569118,"Kansas"
1994,3823215,"Kentucky"
1994,4306500,"Louisiana"
1994,6031352,"Massachusetts"
1994,4985411,"Maryland"
1994,1237687,"Maine"
1994,9584481,"Michigan"
1994,4566028,"Minnesota"
1994,5281206,"Missouri"
1994,2663450,"Mississippi"
1994,854923,"Montana"
1994,7060959,"North Carolina"
1994,639762,"North Dakota"
1994,1621551,"Nebraska"
1994,1133054,"New Hampshire"
1994,7918796,"New Jersey"
1994,1653329,"New Mexico"
1994,1456388,"Nevada"
1994,18156652,"New York"
1994,11111451,"Ohio"
1994,3246119,"Oklahoma"
1994,3087142,"Oregon"
1994,12042545,"Pennsylvania"
1994,993412,"Rhode Island"
1994,3666456,"South Carolina"
1994,723038,"South Dakota"
1994,5163016,"Tennessee"
1994,18338319,"Texas"
1994,1930436,"Utah"
1994,6536771,"Virginia"
1994,578900,"Vermont"
1994,5334896,"Washington"
1994,5095504,"Wisconsin"
1994,1818490,"West Virginia"
1994,474982,"Wyoming"
1995,601345,"Alaska"
1995,4262731,"Alabama"
1995,2480121,"Arkansas"
1995,4306908,"Arizona"
1995,31493525,"California"
1995,3738061,"Colorado"
1995,3265293,"Connecticut"
1995,551273,"District of Columbia"
1995,718265,"Delaware"
1995,14185403,"Florida"
1995,7188538,"Georgia"
1995,1180490,"Hawaii"
1995,2840860,"Iowa"
1995,1165000,"Idaho"
1995,11884935,"Illinois"
1995,5791819,"Indiana"
1995,2586942,"Kansas"
1995,3855248,"Kentucky"
1995,4327978,"Louisiana"
1995,6062335,"Massachusetts"
1995,5023650,"Maryland"
1995,1237438,"Maine"
1995,9659871,"Michigan"
1995,4605445,"Minnesota"
1995,5324610,"Missouri"
1995,2690788,"Mississippi"
1995,868522,"Montana"
1995,7185403,"North Carolina"
1995,641548,"North Dakota"
1995,1635142,"Nebraska"
1995,1145604,"New Hampshire"
1995,7965523,"New Jersey"
1995,1682417,"New Mexico"
1995,1525777,"Nevada"
1995,18150928,"New York"
1995,11155493,"Ohio"
1995,3265547,"Oklahoma"
1995,3141421,"Oregon"
1995,12044780,"Pennsylvania"
1995,989203,"Rhode Island"
1995,3699943,"South Carolina"
1995,728251,"South Dakota"
1995,5241168,"Tennessee"
1995,18679706,"Texas"
1995,1976774,"Utah"
1995,6601392,"Virginia"
1995,582827,"Vermont"
1995,5431024,"Washington"
1995,5137004,"Wisconsin"
1995,1820560,"West Virginia"
1995,478447,"Wyoming"
1996,604918,"Alaska"
1996,4290403,"Alabama"
1996,2504858,"Arkansas"
1996,4432308,"Arizona"
1996,31780829,"California"
1996,3812716,"Colorado"
1996,3267030,"Connecticut"
1996,538273,"District of Columbia"
1996,727090,"Delaware"
1996,14426911,"Florida"
1996,7332225,"Georgia"
1996,1184434,"Hawaii"
1996,2848473,"Iowa"
1996,1187706,"Idaho"
1996,11953003,"Illinois"
1996,5834908,"Indiana"
1996,2598266,"Kansas"
1996,3881051,"Kentucky"
1996,4338763,"Louisiana"
1996,6085393,"Massachusetts"
1996,5057142,"Maryland"
1996,1241436,"Maine"
1996,9739184,"Michigan"
1996,4647723,"Minnesota"
1996,5367888,"Missouri"
1996,2709925,"Mississippi"
1996,876656,"Montana"
1996,7307658,"North Carolina"
1996,642858,"North Dakota"
1996,1647657,"Nebraska"
1996,1160768,"New Hampshire"
1996,8009624,"New Jersey"
1996,1706151,"New Mexico"
1996,1596476,"Nevada"
1996,18143805,"New York"
1996,11187032,"Ohio"
1996,3289634,"Oklahoma"
1996,3195087,"Oregon"
1996,12038008,"Pennsylvania"
1996,987858,"Rhode Island"
1996,3738974,"South Carolina"
1996,730699,"South Dakota"
1996,5313576,"Tennessee"
1996,19006240,"Texas"
1996,2022253,"Utah"
1996,6665491,"Virginia"
1996,586352,"Vermont"
1996,5509963,"Washington"
1996,5173828,"Wisconsin"
1996,1818983,"West Virginia"
1996,480085,"Wyoming"
1997,608846,"Alaska"
1997,4320281,"Alabama"
1997,2524007,"Arkansas"
1997,4552207,"Arizona"
1997,32217708,"California"
1997,3891293,"Colorado"
1997,3268514,"Connecticut"
1997,528752,"District of Columbia"
1997,735024,"Delaware"
1997,14683350,"Florida"
1997,7486094,"Georgia"
1997,1189322,"Hawaii"
1997,2854396,"Iowa"
1997,1210638,"Idaho"
1997,12011509,"Illinois"
1997,5872370,"Indiana"
1997,2616339,"Kansas"
1997,3907816,"Kentucky"
1997,4351390,"Louisiana"
1997,6115476,"Massachusetts"
1997,5092914,"Maryland"
1997,1245215,"Maine"
1997,9785450,"Michigan"
1997,4687726,"Minnesota"
1997,5407113,"Missouri"
1997,2731826,"Mississippi"
1997,878706,"Montana"
1997,7428672,"North Carolina"
1997,640945,"North Dakota"
1997,1656042,"Nebraska"
1997,1173239,"New Hampshire"
1997,8054178,"New Jersey"
1997,1722939,"New Mexico"
1997,1675581,"Nevada"
1997,18143184,"New York"
1997,11212498,"Ohio"
